,ViolationComment,TEAMCODE,FULLNAME
194,    ALL KEY BOXES MUST BE UL 1037 APPROVED AS PER IFC 2012. 911 BOX SHALL HAVE A  WORKING MICRO OR TOGGLE SWITCH AS PER LSB 04 STANDARD.     COMPLIANCE WITHIN 30 DAYS,APT/HTL,BRIAN ARNDT
195,"    THE GATES AT THIS COMMUNITY ARE NOT COMPLIANT TO LSB04 STANDARD. GATE PLANS NEED TO BE SUBMITTED TO FIRE MARSHALS OFFICE PRIOR TO GATE INSTALLATION FOR APPROVAL.     COMPLIANCE: SUBMIT APPROVED PLANS TO INSPECTOR ARNDT OR SUBMIT 3 SETS OF PLANS FOR APPROVAL. ""ALL GATES MUST REMAIN OPEN 24/7 UNTIL GATES ARE COMPLIANT TO LSB 04 STANDARD. ALL WORK MUST BE COMPLETED WITH 30 DAYS",APT/HTL,BRIAN ARNDT
196,    NO GATES SHALL BE INSTALLED NOR OPERATING UNLESS PROPER OPERATIONAL PERMITS PURCHASED. PERMITS SHOULD BE PURCHASED THE SAME TIME GATE DRAWINGS SUBMITTED.    PURCHASE OR PROVIDE THE FOLLOWING PERMITS.     A4- ACCESS GATE PERMIT     K1- KEY BOX PERMIT     COMPLIANCE WITHIN 30 DAYS,APT/HTL,BRIAN ARNDT
208,GAS TEST CURRENT,APT/HTL,TIEN CHAU
209,K1 KEY BOX PERMIT CURRENT BOILER PERMIT CURRENT,APT/HTL,TIEN CHAU
210,CANDACE SMITH 713 777 6811,APT/HTL,TIEN CHAU
211,3FT CLEARANCE FROM FIRE DEPARTMENT EQUIPMENT,APT/HTL,TIEN CHAU
212,NoData,APT/HTL,TIEN CHAU
213,REPAIR AND CHECK ALL EMERGENCY LIGHTING REPAIR EXIT ILLUMINATION,APT/HTL,TIEN CHAU
214,"Provide letter that states ""All units have been supplied with smoke alarms in sleeping areas"" January 1, 2017 as  battery operated single station alarm is replaced, that smoke alarm shall be replaced with tamper-resistant battery-operated single station smoke alarm.",APT/HTL,TIEN CHAU
215,REQUIRED ANNUAL TEST,APT/HTL,TIEN CHAU
216,SERVICE OUT OF DATE FIRE ALARM SYSTEM REQUIRED ANNUAL TEST,APT/HTL,TIEN CHAU
233,"    GATES AT 3821, 3903, AND 3909 ARE NON COMPLIANT TO LSB 04 ACCESS GATES STANDARD.    COMPLIANCE WITHIN 30 DAYS",APT/HTL,BRIAN ARNDT
