,ViolationComment,TEAMCODE,FULLNAME
10322,No violations found at this time.,APT/HTL,ALFRED GARCIA
10589,2nd Electric Swing Gate needs a 911 Falcon Pad Lock on it.,APT/HTL,ALFRED GARCIA
10808,NoData,APT/HTL,ALFRED GARCIA
10950,"K1 is expired 10-5-2019, 10 day renewal notice issued due on 3-20-2020.",APT/HTL,ALFRED GARCIA
11394,NoData,APT/HTL,ALFRED GARCIA
11488,No violations found at this time.,APT/HTL,ALFRED GARCIA
11571,2nd Electric Swing Gate needs a 911 Falcon Pad Lock on it.,APT/HTL,ALFRED GARCIA
12419,Raise FDC signage approximately 24 inches for better visibility.,APT/HTL,ALFRED GARCIA
12420,Place HFD(2) signage on front gates indicating Hydrants inside property.,APT/HTL,ALFRED GARCIA
12421,Label Sprinkler Room Door,APT/HTL,ALFRED GARCIA
13507,NoData,APT/HTL,ALFRED GARCIA
14983,Please pay for Key Box Permit (K1) and Access Gate Permit (A4). In person at Permit Office location 1002 Washington Avenue.,APT/HTL,ALFRED GARCIA
15223,NoData,APT/HTL,ALFRED GARCIA
17235,Please create a 36 inch path of egress thur the center of the Maintenance Shop for emergency access and exiting.,APT/HTL,ALFRED GARCIA
17236,Label Maintenance shop door.,APT/HTL,ALFRED GARCIA
17237,Please remove all unnecessary debris behind access door for dryers.,APT/HTL,ALFRED GARCIA
17238,Please service 2A: 10bc fire extinguishers in all required areas. Last serviced in July 2017.,APT/HTL,ALFRED GARCIA
17605,K1(KEY BOX) permit has expired as of 4/4/20.,APT/HTL,ALFRED GARCIA
17862,NoData,APT/HTL,ALFRED GARCIA
17908,NoData,APT/HTL,ALFRED GARCIA
18317,NoData,APT/HTL,ALFRED GARCIA
19104,"Management signed HFD Owners Statement of Compliance which states, all units have been supplied with smoke alarms in required areas.",APT/HTL,ALFRED GARCIA
19105,"Service all 2A,10:BC fire extinguishers in common areas of property.",APT/HTL,ALFRED GARCIA
19405,NoData,APT/HTL,ALFRED GARCIA
19618,NoData,APT/HTL,ALFRED GARCIA
19718,"Show proof of gas test conducted on property, required every 5 years per fire code.",APT/HTL,ALFRED GARCIA
19719,Label all unit numbers on electrical panel that they service and replace all missing spacers in electrical panels.,APT/HTL,ALFRED GARCIA
19720,Remove all waste materials in Laundry Rooms and around outside Dumpsters that could create a fire hazard.,APT/HTL,ALFRED GARCIA
19721,Place fire extinguishers in Laundry Rooms.,APT/HTL,ALFRED GARCIA
20058,911 Key Box shall contain all necessary keys to gain access into buildings for Emergencies.,APT/HTL,ALFRED GARCIA
20222,911 Key Box shall contain all necessary keys to gain access into buildings for Emergencies.,APT/HTL,ALFRED GARCIA
20627,NoData,APT/HTL,ALFRED GARCIA
21687,NoData,APT/HTL,ALFRED GARCIA
21809,Raise FDC signage approximately 24 inches for better visibility.,APT/HTL,ALFRED GARCIA
21810,Place HFD(2) signage on front gates indicating Hydrants inside property.,APT/HTL,ALFRED GARCIA
21811,Label Sprinkler Room Door,APT/HTL,ALFRED GARCIA
21958,NoData,APT/HTL,ALFRED GARCIA
23149,NoData,APT/HTL,ALFRED GARCIA
23285,Please create a 36 inch path of egress thur the center of the Maintenance Shop for emergency access and exiting.,APT/HTL,ALFRED GARCIA
23286,Label Maintenance shop door.,APT/HTL,ALFRED GARCIA
23287,Please remove all unnecessary debris behind access door for dryers.,APT/HTL,ALFRED GARCIA
23288,Please service 2A: 10bc fire extinguishers in all required areas. Last serviced in July 2017.,APT/HTL,ALFRED GARCIA
24368,Place required fire extinguisher in all laundry rooms.,APT/HTL,ALFRED GARCIA
27324,NoData,APT/HTL,ALFRED GARCIA
27452,"Management signed HFD Owners Statement of Compliance which states, all units have been supplied with smoke alarms in required areas.",APT/HTL,ALFRED GARCIA
27453,"Service all 2A,10:BC fire extinguishers in common areas of property.",APT/HTL,ALFRED GARCIA
27850,"Show proof of gas test conducted on property, required every 5 years per fire code.",APT/HTL,ALFRED GARCIA
27851,Label all unit numbers on electrical panel that they service and replace all missing spacers in electrical panels.,APT/HTL,ALFRED GARCIA
27852,Remove all waste materials in Laundry Rooms and around outside Dumpsters that could create a fire hazard.,APT/HTL,ALFRED GARCIA
27853,Place fire extinguishers in Laundry Rooms.,APT/HTL,ALFRED GARCIA
28236,Place required fire extinguisher in all laundry rooms.,APT/HTL,ALFRED GARCIA
29611,911 Key Box required at Access Gate.,APT/HTL,ALFRED GARCIA
29612,Permit required for Access Gate.,APT/HTL,ALFRED GARCIA
29613,Permit required for 911 Key Box.,APT/HTL,ALFRED GARCIA
29806,911 Key Box required at Access Gate.,APT/HTL,ALFRED GARCIA
29807,Permit required for Access Gate.,APT/HTL,ALFRED GARCIA
29808,Permit required for 911 Key Box.,APT/HTL,ALFRED GARCIA
30404,NoData,APT/HTL,ALFRED GARCIA
30434,NoData,APT/HTL,ALFRED GARCIA
30435,Complied with Owners Statement of Compliance Form.,APT/HTL,ALFRED GARCIA
30436,Complied with Owners Statement of Compliance Form.,APT/HTL,ALFRED GARCIA
30437,NoData,APT/HTL,ALFRED GARCIA
30438,Complied with Owner Statement of Compliance Form.,APT/HTL,ALFRED GARCIA
30532,No violations found at this time.,APT/HTL,ALFRED GARCIA
31184,"No violations found at this time. Fire Alarm Permit Current, Fire Extinguishers serviced 7/2020, Fire Alarm tested 7/2020, Fire Sprinkler System tested 7/2020 and Certificate of Occupancy issued 8/6/2018.",APT/HTL,ALFRED GARCIA
31714,"Fire System shall be corrected within 72 hours, please contact Fire Inspector when service work has been completed or if additional time is required.",APT/HTL,ALFRED GARCIA
31715,"Replace: Panel batteries in Buildings 2,12,14,20,24, mini horn in apt.#903, troubleshoot water flow bells in buildings 10 and 24. Work performed by Western States Fire Protection and approved by Community Manager Schrhonda Womack of Lincoln Park Apts.",APT/HTL,ALFRED GARCIA
32903,No violations found at this time.,APT/HTL,ALFRED GARCIA
33156,NoData,APT/HTL,ALFRED GARCIA
33395,"Annual 911 Key Box permit is required, K1 permit expired 3-13-20.",APT/HTL,ALFRED GARCIA
33396,"Both 911 Key Boxes are damaged and do not meet current code/ LSB standard 05. All Key Boxes as per IFC 2012 must be UL 1037 approved. Please replace both Key Boxes at Main gates with Knox Box 3200 hinged series with micro or toggle switch options. When ordering Key Boxes make sure to choose or click on Houston Fire Department box, approved items may be referenced online at www.knoxbox.com.",APT/HTL,ALFRED GARCIA
