,ViolationComment,TEAMCODE,FULLNAME
2, REMOVE COMBUSTIBLES FROM AROUND BUILDING ,HighRise,LISA KIMBALL
3," PROVIDE A 911 BOX TO ENABLE ENTRY TO THE STRUCTURE THROUGH THE GATED AND PADLOCKED DRIVE, THE ENCLOSED ENTRY AT THE REAR OF THE BUILDING AND THE DOOR CONTAINED WITHIN THE SECURED GATE ",HighRise,LISA KIMBALL
4," INSPECTION OF THE BUILDING FOUND SEVERAL POINTS OF ENTRY (UNSECURED PLYWOOD REMOVED WITH THE AID OF A PHILLIPS SCREWDRIVER), CLOTHING, BEDDING AND A RECENTLY DATED NEWSPAPER INDICATING AN UNSAFE VACANT BUILDING - BUILDING MUST BE MORE SECURE AGAINST UNAUTHORIZED ENTRY AND HABITATION ",HighRise,LISA KIMBALL
5,NoData,HighRise,LISA KIMBALL
6,NoData,HighRise,LISA KIMBALL
7, THE USE OF LOCKING OR DECKING SCREWS TO SECURE PLYWOOD (AS OPPOSED TO PHILLIPS HEAD SCREWS) IS SUGGESTED TO INHIBIT ENTRY BY UNAUTHORIZED PERSONS INTO THE BUILDING  ,HighRise,LISA KIMBALL
8, PLYWOOD SECURING AN OPENING ON THE NORTH SIDE OF BUILDING WAS REMOVED (INITIALLY DISCOVERED ON THE 14TH JANUARY 2018 AT 14:18) AND BUILDING WAS NOT SECURED TO UNAUTHORIZED ACCESS CREATING REASONABLE BELIEF THIS BUILDING WAS BREACHED AND THEREFORE UNSAFE ,HighRise,LISA KIMBALL
9,NoData,HighRise,LISA KIMBALL
10," SCATTERED FURNISHINGS AND AN ABUNDANCE OF COMBUSTIBLE WASTE WERE FOUND PRIMARILY IN THE BASEMENT, 1ST, 2ND AND 3RD FLOORS - REMOVE ALL FURNISHINGS AND COMBUSTIBLES FROM ALL FLOORS OF THE BUILDING IMMEDIATELY ",HighRise,LISA KIMBALL
11, THE EXIT FROM THE CATWALK HAS BEEN ELIMINATED AND PERMANENTLY OBSTRUCTED WITH 2X4 BARRICADES FROM THE 1115 CONGRESS SIDE - A SAFE AND SECURE SOLUTION MUST BE EXPLORED WITH THE BUILDING DEPARTMENT ,HighRise,LISA KIMBALL
12," THE BUILDING AT THIS ADDRESS MUST CONFORM TO THE 2012 INTERNATIONAL FIRE CODE, CHAPTER 33 'FIRE SAFETY DURING CONSTRUCTION AND DEMOLITION' ",HighRise,LISA KIMBALL
13, NO EVIDENCE OF THE LAST INSPECTION OF THE EXTERIOR FIRE ESCAPE HAS BEEN PROVIDED ,HighRise,LISA KIMBALL
14, THE CATWALK ACCESS HAS BEEN OBSTRUCTED AT THE 1115 CONGRESS SIDE - AN ALTERNATIVE TO 2X4s PERMANENTLY SEALING OFF THE EGRESS WAY MUST BE FOUND TO ALLOW ACCESS WHILE ALSO PROVIDING SECURITY ,HighRise,LISA KIMBALL
15," CEILING TILES HAVE BEEN REMOVED THROUGHOUT THE BUILDING EXPOSING FRIABLE ASBESTOS WRAPPED PIPING, ASBESTOS LADEN TILES AND ALLOWING CABLES, WIRES, FLEXIBLE A/C DUCTING, ETC TO CREATE SAFETY AND HEATH HAZARDS   FPM ON SITE HAVE NO KNOWLEDGE OF STATE REQUIRED O & M (ASBESTOS OPERATION AND MAINTENANCE) DOCUMENTATION ",HighRise,LISA KIMBALL
16, A SUSPECTED FLAMMABLE LIQUID WAS FOUND SEEPING FROM A BARREL IN THE BASEMENT - CLEAN UP AND REMOVE RESIDUAL LIQUID FROM THE BUILDING ,HighRise,LISA KIMBALL
17,NoData,HighRise,LISA KIMBALL
18," YOUR ATTENTION IS RESPECTFULLY CALLED TO THE VIOLATIONS OF THE PROVISIONS OF THE CITY OF HOUSTON FIRE CODE AS INDICATED HEREIN, ON THE VACANT PREMISES LOCATED AT THE ADDRESS LISTED. THIS INSPECTION REPORT MAY NOT REVEAL ALL FIRE CODE VIOLATIONS. ADDITIONAL VIOLATIONS MAY BE DISCOVERED DURING SUBSEQUENT VISITS. THE ISSUANCE OF A FIRE INSPECTION REPORT IS NOT REQUIRED PRIOR TO THE ISSUANCE OF A CITATION, SUMMONS OR OTHER ENFORCEMENT ACTION. THE FIRE INSPECTOR MAY ISSUE CITATIONS UPON ARRIVAL FOR FIRE CODE VIOLATIONS THAT ARE AN IMMEDIATE LIFE SAFETY HAZARD ",HighRise,LISA KIMBALL
19,NoData,HighRise,LISA KIMBALL
20,NoData,HighRise,LISA KIMBALL
21,NoData,HighRise,LISA KIMBALL
22,NoData,HighRise,LISA KIMBALL
23," UNSPRINKLERED BUILDING - NO FIRE PROTECTION IN PLACE   THE HOSE CABINETS HAVE BEEN REMOVED, PIPES HAVE BEEN SEVERED AND FIRE PUMPS (YELLOW TAGGED IN JANUARY 2006) TAKEN OUT OF SERVICE PRIOR TO COMBUSTIBLE MATERIALS AND DEBRIS BEING REMOVED FROM THE BUILDING ",HighRise,LISA KIMBALL
24, ALL PUMPS AND TANKS FROM THE FDC APPEAR TO HAVE OPEN CONNECTIONS AND VALVES; ALL HOSES AND CABINETS HAVE BEEN REMOVED LEAVING SEVERED PIPES WITHOUT CONNECTIONS AT THE WALL IN THE BASEMENT AND ALL STORIES THROUGHOUT THE BUILDING ,HighRise,LISA KIMBALL
25,NoData,HighRise,LISA KIMBALL
26,NoData,HighRise,LISA KIMBALL
