,ViolationComment,TEAMCODE,FULLNAME
198,Need to remove the combustibles from around the electrical panel according to the specifications above.,GO,DEAN ZALESNIK
199,"Fire Alarm permit issued November 20, 2019. I2 permit has been paid and is awaiting approval by Fire Marshal.",GO,DEAN ZALESNIK
200,As per code above.,GO,DEAN ZALESNIK
201,"Label both rooms with electrical panels in the with the words ""Electrical Room"".",GO,DEAN ZALESNIK
202,Make sure all exit signs and emergency lighting are operating normally and make repairs as needed.,GO,DEAN ZALESNIK
203,"Need to check when the last sensitivity test was performed.  If the test has not been performed within the last two years, on the next annual inspection and testing cycle, have the sensitivity test performed.",GO,DEAN ZALESNIK
204,Last inspected November/2018.  Inspection and tagging required.,GO,DEAN ZALESNIK
205,"Last audibility test performed March 12, 2019.",GO,DEAN ZALESNIK
206,"Last inspected March 12, 2019--Ok.  Blue tagged acceptable.",GO,DEAN ZALESNIK
207,NoData,GO,DEAN ZALESNIK
241,Need to remove the combustibles from around the electrical panel according to the specifications above.,GO,DEAN ZALESNIK
242,"Fire Alarm permit issued November 20, 2019. I2 permit has been paid and is awaiting approval by Fire Marshal.",GO,DEAN ZALESNIK
243,As per code above.,GO,DEAN ZALESNIK
244,"Label both rooms with electrical panels in the with the words ""Electrical Room"".",GO,DEAN ZALESNIK
245,Make sure all exit signs and emergency lighting are operating normally and make repairs as needed.,GO,DEAN ZALESNIK
246,"Need to check when the last sensitivity test was performed.  If the test has not been performed within the last two years, on the next annual inspection and testing cycle, have the sensitivity test performed.",GO,DEAN ZALESNIK
247,Last inspected November/2018.  Inspection and tagging required.,GO,DEAN ZALESNIK
248,"Last audibility test performed March 12, 2019.",GO,DEAN ZALESNIK
249,"Last inspected March 12, 2019--Ok.  Blue tagged acceptable.",GO,DEAN ZALESNIK
269,DO NOT BLOCK EMERGANCY EXIT IN WAREHOUSE,GO,KEITH HARRIS
270,LP CAGE MUST COMPLY WITH THIS CODE.,GO,KEITH HARRIS
271,ADD FIRE EXTINGUISHER TO FORK LIFT,GO,KEITH HARRIS
272,NoData,GO,KEITH HARRIS
273,PLACE EXTRA LP CONTAINERS OUTSIDE OF THE BUILDING IN LP CAGE,GO,KEITH HARRIS
274,ADD (2) 2A:10:BC FIRE EXTINGUISHERS TO WAREHOUSE ADD (2) 2A:10:BC FIRE EXTINGUISHERS TO (AIR CONDITIONED WAREHOUSE),GO,KEITH HARRIS
275,ADD (2) 2A:10:BC FIRE EXTINGUISHERS TO OFFICE,GO,KEITH HARRIS
276,IN (AIR CONDITIONED STORAGE) Storage shall be maintained 2 feet (610 mm) or more below the ceiling in nonsprinklered areas of buildings,GO,KEITH HARRIS
278, ADD ADDRESS ON BACK DOOR.,GO,MICHAEL THUESEN
279, POST ALL PERMITS.,GO,MICHAEL THUESEN
280, Obtain a P-2 Assembly permit to operate a place of assembly of over  49 maximum occupancy.,GO,MICHAEL THUESEN
281,DOLLY LAM,GO,MICHAEL THUESEN
282,NoData,GO,MICHAEL THUESEN
284,NoData,GO,RAMIRO MEDINA
285,POST ALL PERMITS.,GO,MICHAEL THUESEN
